,road,chainage,lrp,lat,lon,gap,type,name,model_type,length,id,condition,road_name,bridge_length,road_id,road_id_sliced
14,N1,8.011,LRP008a,23.7021111,90.5157778,BS,Bridge,bridge,bridge,10.999999999999233,1000014,A,Unknown,394.23,N1LRP008a,N1LRP008
15,N1,8.429,LRP008b,23.7045833,90.5188327,BE,Bridge,link,link,418.000000000001,1000015,,Unknown,,N1LRP008b,N1LRP008
16,N1,8.503,LRP009,23.7050278,90.5193327,,KmPost,link,link,73.99999999999984,1000016,,Unknown,,N1LRP009,N1LRP009
17,N1,8.763,LRP009a,23.7060833,90.5215271,,"SideRoad,Left",link,link,259.9999999999998,1000017,,Unknown,,N1LRP009a,N1LRP009
18,N1,9.503,LRP010,23.7025278,90.5273882,,KmPost,link,link,740.0000000000002,1000018,,Unknown,,N1LRP010,N1LRP010
19,N1,9.615,LRP010a,23.7015278,90.5281938,,Culvert,bridge,bridge,112.0000000000001,1000019,B,Unknown,8.0,N1LRP010a,N1LRP010
20,N1,9.963,LRP010b,23.6998608,90.5307216,,Culvert,bridge,bridge,347.999999999999,1000020,A,Unknown,6.3,N1LRP010b,N1LRP010
21,N1,10.377,LRP010c,23.6974163,90.5337774,,Culvert,bridge,bridge,414.0000000000015,1000021,A,Unknown,6.3,N1LRP010c,N1LRP010
22,N1,10.503,LRP011,23.6966386,90.5348052,,KmPost,link,link,125.99999999999945,1000022,,Unknown,,N1LRP011,N1LRP011
23,N1,10.885,LRP011a,23.6943608,90.5376108,,Culvert,bridge,bridge,381.99999999999966,1000023,A,Unknown,8.3,N1LRP011a,N1LRP011
24,N1,11.313,LRP011b,23.6922774,90.5410552,,Culvert,bridge,bridge,428.0000000000008,1000024,A,Unknown,8.3,N1LRP011b,N1LRP011
25,N1,11.497,LRP012,23.6918052,90.5426108,,KmPost,link,link,183.99999999999926,1000025,,Unknown,,N1LRP012,N1LRP012
26,N1,11.745,LRP012a,23.6911108,90.5448886,BS,Bridge,bridge,bridge,247.99999999999932,1000026,A,Unknown,9.3,N1LRP012a,N1LRP012
27,N1,11.771,LRP012b,23.6910552,90.5451386,BE,Bridge,link,link,26.000000000001577,1000027,,Unknown,,N1LRP012b,N1LRP012
28,N1,11.936,LRP012c,23.6904163,90.546583,,"SideRoad,Right",link,link,164.99999999999915,1000028,,Unknown,,N1LRP012c,N1LRP012
29,N1,12.524,LRP013,23.6865274,90.5504167,,KmPost,link,link,587.9999999999992,1000029,,Unknown,,N1LRP013,N1LRP013
30,N1,12.672,LRP013a,23.6854997,90.5512778,,Culvert,bridge,bridge,148.00000000000148,1000030,A,Unknown,26.3,N1LRP013a,N1LRP013
31,N1,13.524,LRP014,23.678166,90.5556111,,KmPost,link,link,851.9999999999985,1000031,,Unknown,,N1LRP014,N1LRP014
32,N1,14.524,LRP015,23.670916,90.5597778,,KmPost,link,link,1000.0,1000032,,Unknown,,N1LRP015,N1LRP015
33,N1,14.563,LRP015a,23.6705827,90.5599722,,Culvert,bridge,bridge,39.00000000000148,1000033,,Unknown,,N1LRP015a,N1LRP015
34,N1,15.524,LRP016,23.6628333,90.5641111,,KmPost,link,link,960.9999999999985,1000034,,Unknown,,N1LRP016,N1LRP016
35,N1,15.935,LRP016a,23.6604167,90.5671104,,"SideRoad,Right",link,link,411.00000000000136,1000035,,Unknown,,N1LRP016a,N1LRP016
36,N1,16.242,LRP016b,23.6591111,90.5697216,BS,Bridge,bridge,bridge,307.0000000000004,1000036,B,Unknown,5.55,N1LRP016b,N1LRP016
37,N1,16.402,LRP016c,23.6583056,90.5709993,BE,Bridge,link,link,160.00000000000014,1000037,,Unknown,,N1LRP016c,N1LRP016
38,N1,16.524,LRP017,23.6575,90.5719716,,KmPost,link,link,121.99999999999989,1000038,,Unknown,,N1LRP017,N1LRP017
39,N1,16.831,LRP017a,23.6559722,90.5743327,BS,Bridge,bridge,bridge,306.99999999999864,1000039,C,Unknown,159.52,N1LRP017a,N1LRP017
40,N1,16.852,LRP017b,23.6559167,90.5745271,BE,Bridge,link,link,21.000000000000796,1000040,,Unknown,,N1LRP017b,N1LRP017
41,N1,17.204,LRP017c,23.6540556,90.5772771,BS,Bridge,bridge,bridge,352.00000000000034,1000041,C,Unknown,159.52,N1LRP017c,N1LRP017
42,N1,17.234,LRP017d,23.6539167,90.5774993,BE,Bridge,link,link,30.000000000001137,1000042,,Unknown,,N1LRP017d,N1LRP017
43,N1,17.524,LRP018,23.6525278,90.5798882,,KmPost,link,link,289.99999999999915,1000043,,Unknown,,N1LRP018,N1LRP018
44,N1,17.863,LRP018a,23.6508889,90.5826382,BS,Bridge,bridge,bridge,338.99999999999864,1000044,B,Unknown,20.0,N1LRP018a,N1LRP018
45,N1,17.904,LRP018b,23.6506944,90.5829993,BE,Bridge,link,link,41.00000000000037,1000045,,Unknown,,N1LRP018b,N1LRP018
46,N1,18.524,LRP019,23.6476108,90.588083,,KmPost,link,link,620.000000000001,1000046,,Unknown,,N1LRP019,N1LRP019
47,N1,18.878,LRP019a,23.6449441,90.5899163,,Culvert,bridge,bridge,353.9999999999992,1000047,C,Unknown,40.5,N1LRP019a,N1LRP019
48,N1,19.521,LRP019b,23.6397497,90.5926941,,Culvert,bridge,bridge,643.0000000000007,1000048,B,Unknown,40.33,N1LRP019b,N1LRP019
49,N1,19.524,LRP020,23.6396941,90.5927219,,KmPost,link,link,3.0000000000001137,1000049,,Unknown,,N1LRP020,N1LRP020
50,N1,20.044,LRP020a,23.6358608,90.5948052,,"SideRoad,Left",link,link,519.9999999999995,1000050,,Unknown,,N1LRP020a,N1LRP020
51,N1,20.342,LRP020b,23.6341108,90.5970274,BS,Bridge,bridge,bridge,297.9999999999983,1000051,B,Unknown,10.4,N1LRP020b,N1LRP020
52,N1,20.442,LRP020c,23.6335552,90.5976941,BE,Bridge,link,link,100.00000000000142,1000052,,Unknown,,N1LRP020c,N1LRP020
53,N1,20.524,LRP021,23.6330549,90.5982774,,KmPost,link,link,82.00000000000074,1000053,,Unknown,,N1LRP021,N1LRP021
54,N1,21.499,LRP021a,23.6262771,90.6042222,,Culvert,bridge,bridge,974.9999999999978,1000054,A,Unknown,86.92,N1LRP021a,N1LRP021
55,N1,21.629,LRP022,23.6252216,90.6049722,,KmPost,link,link,130.00000000000256,1000055,,Unknown,,N1LRP022,N1LRP022
56,N1,21.765,LRP022a,23.6242216,90.6055278,BS,Bridge,bridge,bridge,135.99999999999923,1000056,B,Unknown,5.5,N1LRP022a,N1LRP022
57,N1,21.993,LRP022b,23.6224993,90.6066944,BE,Bridge,link,link,227.99999999999798,1000057,,Unknown,,N1LRP022b,N1LRP022
58,N1,22.252,LRP022c,23.6204716,90.6079722,BS,Bridge,bridge,bridge,259.00000000000034,1000058,B,Unknown,5.5,N1LRP022c,N1LRP022
59,N1,22.374,LRP022d,23.6195271,90.6085833,BE,Bridge,link,link,121.99999999999989,1000059,,Unknown,,N1LRP022d,N1LRP022
60,N1,22.629,LRP023,23.6173604,90.6096944,,KmPost,link,link,255.00000000000256,1000060,,Unknown,,N1LRP023,N1LRP023
61,N1,23.564,LRP023a,23.6095556,90.6121944,,Bridge,bridge,bridge,934.9999999999987,1000061,B,Unknown,213.5,N1LRP023a,N1LRP023
62,N1,23.629,LRP024,23.609,90.6124722,,KmPost,link,link,65.00000000000128,1000062,,Unknown,,N1LRP024,N1LRP024
63,N1,24.503,LRP024a,23.6018611,90.6159722,,Bridge,bridge,bridge,873.9999999999987,1000063,C,Unknown,900.0,N1LRP024a,N1LRP024
64,N1,24.629,LRP025,23.6009444,90.6165556,,KmPost,link,link,126.00000000000122,1000064,,Unknown,,N1LRP025,N1LRP025
65,N1,25.629,LRP026,23.5959997,90.624666,,KmPost,link,link,1000.0,1000065,,Unknown,,N1LRP026,N1LRP026
66,N1,25.639,LRP026a,23.5959441,90.6246938,,Culvert,bridge,bridge,9.99999999999801,1000066,A,Unknown,5.6,N1LRP026a,N1LRP026
67,N1,26.313,LRP026b,23.5917497,90.6293327,,Culvert,bridge,bridge,673.9999999999995,1000067,A,Unknown,5.5,N1LRP026b,N1LRP026
68,N1,26.629,LRP027,23.5896108,90.6313882,,KmPost,link,link,316.0000000000025,1000068,,Unknown,,N1LRP027,N1LRP027
69,N1,27.503,LRP027a,23.5837497,90.6369441,,Bridge,bridge,bridge,873.9999999999987,1000069,A,Unknown,5.6,N1LRP027a,N1LRP027
70,N1,27.629,LRP028,23.5828327,90.6378886,,KmPost,link,link,126.00000000000122,1000070,,Unknown,,N1LRP028,N1LRP028
71,N1,27.668,LRP028a,23.5825827,90.6381386,BS,Bridge,bridge,bridge,38.999999999997925,1000071,A,Unknown,163.5,N1LRP028a,N1LRP028
72,N1,28.324,LRP028b,23.577916,90.6419719,BE,Bridge,link,link,656.0000000000024,1000072,,Unknown,,N1LRP028b,N1LRP028
73,N1,28.363,LRP028c,23.5776104,90.6421108,,Bridge,bridge,bridge,38.999999999997925,1000073,A,Unknown,172.1,N1LRP028c,N1LRP028
74,N1,28.759,LRP029,23.5745271,90.6436941,,KmPost,link,link,396.0000000000008,1000074,,Unknown,,N1LRP029,N1LRP029
75,N1,29.067,LRP029a,23.572166,90.6451108,BS,Bridge,bridge,bridge,307.99999999999983,1000075,A,Unknown,29.0,N1LRP029a,N1LRP029
76,N1,29.113,LRP029b,23.5718327,90.6453052,BE,Bridge,link,link,45.999999999999375,1000076,,Unknown,,N1LRP029b,N1LRP029
77,N1,29.759,LRP030,23.5666111,90.6481663,,KmPost,link,link,646.0000000000008,1000077,,Unknown,,N1LRP030,N1LRP030
78,N1,30.127,LRP030a,23.5639167,90.6501944,BS,Bridge,bridge,bridge,367.9999999999985,1000078,A,Unknown,34.7,N1LRP030a,N1LRP030
79,N1,30.165,LRP030b,23.5636944,90.6504722,BE,Bridge,link,link,38.000000000000256,1000079,,Unknown,,N1LRP030b,N1LRP030
80,N1,30.697,LRP030c,23.5604167,90.6542222,BS,Bridge,bridge,bridge,532.0,1000080,A,Unknown,34.7,N1LRP030c,N1LRP030
81,N1,30.735,LRP030d,23.5602222,90.6545,BE,Bridge,link,link,38.000000000000256,1000081,,Unknown,,N1LRP030d,N1LRP030
82,N1,30.774,LRP031,23.5599722,90.6548056,,KmPost,link,link,39.00000000000148,1000082,,Unknown,,N1LRP031,N1LRP031
83,N1,30.936,LRP031a,23.5590278,90.6559444,,"SideRoad,Right",link,link,161.99999999999903,1000083,,Unknown,,N1LRP031a,N1LRP031
84,N1,31.348,LRP031b,23.5564444,90.6588611,BS,Bridge,bridge,bridge,411.99999999999903,1000084,A,Unknown,27.4,N1LRP031b,N1LRP031
85,N1,31.388,LRP031c,23.5562222,90.6591389,BE,Bridge,link,link,40.0000000000027,1000085,,Unknown,,N1LRP031c,N1LRP031
86,N1,31.783,LRP032,23.5538056,90.6619722,,KmPost,link,link,394.99999999999955,1000086,,Unknown,,N1LRP032,N1LRP032
87,N1,32.025,LRP032a,23.5523333,90.6636667,,Culvert,bridge,bridge,241.99999999999733,1000087,A,Unknown,29.0,N1LRP032a,N1LRP032
88,N1,32.607,LRP033,23.5487497,90.6678327,,KmPost,link,link,582.0000000000007,1000088,,Unknown,,N1LRP033,N1LRP033
89,N1,32.831,LRP033a,23.5474163,90.6694438,BS,Bridge,bridge,bridge,224.00000000000375,1000089,A,Unknown,9.1,N1LRP033a,N1LRP033
90,N1,32.908,LRP033b,23.5469441,90.6699993,BE,Bridge,link,link,76.99999999999818,1000090,,Unknown,,N1LRP033b,N1LRP033
91,N1,33.351,LRP033c,23.5442219,90.6731104,,Culvert,bridge,bridge,442.99999999999784,1000091,A,Unknown,9.1,N1LRP033c,N1LRP033
92,N1,33.607,LRP034,23.542583,90.6749438,,KmPost,link,link,256.0000000000002,1000092,,Unknown,,N1LRP034,N1LRP034
93,N1,34.607,LRP035,23.5362497,90.681916,,KmPost,link,link,1000.0,1000093,,Unknown,,N1LRP035,N1LRP035
94,N1,34.641,LRP035a,23.536083,90.6821382,BS,Bridge,bridge,bridge,33.99999999999892,1000094,A,Unknown,9.5,N1LRP035a,N1LRP035
95,N1,34.681,LRP035b,23.5358608,90.6823604,BE,Bridge,link,link,39.99999999999915,1000095,,Unknown,,N1LRP035b,N1LRP035
96,N1,34.956,LRP035c,23.5341386,90.6843052,,Culvert,bridge,bridge,275.0000000000057,1000096,A,Unknown,9.5,N1LRP035c,N1LRP035
97,N1,35.607,LRP036,23.5301938,90.688833,,KmPost,link,link,650.9999999999962,1000097,,Unknown,,N1LRP036,N1LRP036
98,N1,36.271,LRP036a,23.529916,90.6952219,,Bridge,bridge,bridge,664.0000000000015,1000098,B,Unknown,24.5,N1LRP036a,N1LRP036
99,N1,36.607,LRP037,23.5301382,90.6984997,,KmPost,link,link,335.9999999999985,1000099,,Unknown,,N1LRP037,N1LRP037
100,N1,37.607,LRP038,23.5307493,90.7082778,,KmPost,link,link,1000.0,1000100,,Unknown,,N1LRP038,N1LRP038
101,N1,37.685,LRP038a,23.5307771,90.7090278,,Bridge,bridge,bridge,78.00000000000296,1000101,,Unknown,,N1LRP038a,N1LRP038
102,N1,38.04,LRP038b,23.5313882,90.7153611,,Others / Others,link,link,354.9999999999969,1000102,,Unknown,,N1LRP038b,N1LRP038
103,N1,38.466,LRP038c,23.5314716,90.7172216,,"SideRoad,Right",link,link,426.00000000000193,1000103,,Unknown,,N1LRP038c,N1LRP038
104,N1,38.543,LRP038d,23.5315271,90.7173604,BS,Bridge,bridge,bridge,76.99999999999818,1000104,,Unknown,,N1LRP038d,N1LRP038
105,N1,38.56,LRP038e,23.5315827,90.7176104,BE,Bridge,link,link,17.000000000003013,1000105,,Unknown,,N1LRP038e,N1LRP038
106,N1,38.607,LRP039,23.5317216,90.7180271,,KmPost,link,link,46.999999999997044,1000106,,Unknown,,N1LRP039,N1LRP039
107,N1,39.12,LRP039a,23.5322346,90.7226298386,,Culvert,bridge,bridge,512.9999999999982,1000107,,Unknown,,N1LRP039a,N1LRP039
108,N1,39.607,LRP040,23.5327216,90.7269993,,KmPost,link,link,487.0000000000019,1000108,,Unknown,,N1LRP040,N1LRP040
109,N1,40.607,LRP041,23.528916,90.7356108,,KmPost,link,link,1000.0,1000109,,Unknown,,N1LRP041,N1LRP041
110,N1,41.261,LRP042,23.5289993,90.7419441,,KmPost,link,link,654.0000000000034,1000110,,Unknown,,N1LRP042,N1LRP042
111,N1,42.228,LRP042a,23.5293882,90.7514167,BS,Bridge,bridge,bridge,966.9999999999987,1000111,,Unknown,,N1LRP042a,N1LRP042
112,N1,42.245,LRP042b,23.5293882,90.7515833,BE,Bridge,link,link,16.999999999995907,1000112,,Unknown,,N1LRP042b,N1LRP042
113,N1,42.269,LRP043,23.529416,90.75175,,KmPost,link,link,24.00000000000091,1000113,,Unknown,,N1LRP043,N1LRP043
114,N1,43.269,LRP044,23.5299993,90.7615,,KmPost,link,link,1000.0,1000114,,Unknown,,N1LRP044,N1LRP044
115,N1,44.269,LRP045,23.5304438,90.7713049,,KmPost,link,link,1000.0,1000115,,Unknown,,N1LRP045,N1LRP045
116,N1,44.454,LRP045a,23.5304993,90.7731104,,Culvert,bridge,bridge,185.00000000000227,1000116,,Unknown,,N1LRP045a,N1LRP045
117,N1,45.269,LRP046,23.5308049,90.7811104,,KmPost,link,link,814.9999999999977,1000117,,Unknown,,N1LRP046,N1LRP046
118,N1,45.322,LRP046a,23.5307493,90.7816104,,"SideRoad,Right",link,link,53.00000000000438,1000118,,Unknown,,N1LRP046a,N1LRP046
119,N1,45.388,LRP046b,23.530666,90.7821938,,"SideRoad,Left",link,link,65.9999999999954,1000119,,Unknown,,N1LRP046b,N1LRP046
120,N1,46.161,LRP046c,23.5312216,90.7895552,,Culvert,bridge,bridge,773.0000000000032,1000120,C,Unknown,3.9,N1LRP046c,N1LRP046
121,N1,46.269,LRP047,23.531166,90.7907219,,KmPost,link,link,107.99999999999699,1000121,,Unknown,,N1LRP047,N1LRP047
122,N1,47.224,LRP047a,23.5306938,90.7924441,,"SideRoad,Right",link,link,954.9999999999983,1000122,,Unknown,,N1LRP047a,N1LRP047
123,N1,47.269,LRP048,23.5308604,90.8002222,,KmPost,link,link,45.000000000001705,1000123,,Unknown,,N1LRP048,N1LRP048
124,N1,47.672,LRP048a,23.5308882,90.8041389,BS,Bridge,bridge,bridge,402.9999999999987,1000124,,Unknown,,N1LRP048a,N1LRP048
125,N1,47.692,LRP048b,23.530916,90.8043611,BE,Bridge,link,link,20.000000000003126,1000125,,Unknown,,N1LRP048b,N1LRP048
126,N1,48.269,LRP049,23.5316382,90.8099167,,KmPost,link,link,576.9999999999982,1000126,,Unknown,,N1LRP049,N1LRP049
127,N1,49.269,LRP050,23.5332493,90.8194716,,KmPost,link,link,1000.0,1000127,,Unknown,,N1LRP050,N1LRP050
128,N1,49.863,LRP050a,23.5346663,90.8249716,BS,Bridge,bridge,bridge,594.0000000000011,1000128,,Unknown,,N1LRP050a,N1LRP050
129,N1,49.879,LRP050b,23.5347219,90.8251104,BE,Bridge,link,link,15.999999999998238,1000129,,Unknown,,N1LRP050b,N1LRP050
130,N1,50.269,LRP051,23.5344997,90.8287216,,KmPost,link,link,390.00000000000057,1000130,,Unknown,,N1LRP051,N1LRP051
131,N1,51.269,LRP052,23.5292216,90.8365274,,KmPost,link,link,1000.0,1000131,,Unknown,,N1LRP052,N1LRP052
132,N1,51.636,LRP052a,23.5270549,90.8391386,,Culvert,bridge,bridge,367.00000000000443,1000132,,Unknown,,N1LRP052a,N1LRP052
133,N1,52.269,LRP053,23.523166,90.8438886,,KmPost,link,link,632.9999999999956,1000133,,Unknown,,N1LRP053,N1LRP053
134,N1,53.269,LRP054,23.5174993,90.8513889,,KmPost,link,link,1000.0,1000134,,Unknown,,N1LRP054,N1LRP054
135,N1,54.269,LRP055,23.5170827,90.8607778,,KmPost,link,link,1000.0,1000135,,Unknown,,N1LRP055,N1LRP055
136,N1,55.269,LRP056,23.5135833,90.8697771,,KmPost,link,link,1000.0,1000136,,Unknown,,N1LRP056,N1LRP056
137,N1,55.333,LRP056a,23.5133056,90.8703049,BS,Bridge,bridge,bridge,64.00000000000006,1000137,C,Unknown,28.9,N1LRP056a,N1LRP056
138,N1,55.375,LRP056b,23.5131111,90.8706382,BE,Bridge,link,link,42.00000000000159,1000138,,Unknown,,N1LRP056b,N1LRP056
139,N1,55.477,LRP056c,23.5126667,90.871416,,"SideRoad,Left",link,link,101.99999999999676,1000139,,Unknown,,N1LRP056c,N1LRP056
140,N1,56.269,LRP057,23.5088056,90.8778604,,KmPost,link,link,792.0000000000016,1000140,,Unknown,,N1LRP057,N1LRP057
141,N1,57.269,LRP058,23.506,90.8869163,,KmPost,link,link,1000.0,1000141,,Unknown,,N1LRP058,N1LRP058
142,N1,58.191,LRP058a,23.5056111,90.8958886,,Culvert,bridge,bridge,922.0000000000041,1000142,,Unknown,,N1LRP058a,N1LRP058
143,N1,58.269,LRP059,23.5056389,90.8966108,,KmPost,link,link,77.99999999999585,1000143,,Unknown,,N1LRP059,N1LRP059
144,N1,59.269,LRP060,23.5062778,90.9063889,,KmPost,link,link,1000.0,1000144,,Unknown,,N1LRP060,N1LRP060
145,N1,60.18,LRP060a,23.50575,90.91525,,Culvert,bridge,bridge,911.0000000000014,1000145,,Unknown,,N1LRP060a,N1LRP060
146,N1,60.269,LRP061,23.5057222,90.9160278,,KmPost,link,link,88.99999999999864,1000146,,Unknown,,N1LRP061,N1LRP061
147,N1,61.269,LRP062,23.5055278,90.9257216,,KmPost,link,link,1000.0,1000147,,Unknown,,N1LRP062,N1LRP062
148,N1,62.269,LRP063,23.5042778,90.9354163,,KmPost,link,link,1000.0,1000148,,Unknown,,N1LRP063,N1LRP063
149,N1,62.278,LRP063a,23.5043333,90.9354719,,"SideRoad,Left",link,link,9.000000000000341,1000149,,Unknown,,N1LRP063a,N1LRP063
150,N1,62.542,LRP063b,23.5038611,90.9371386,,Culvert,bridge,bridge,264.0000000000029,1000150,,Unknown,,N1LRP063b,N1LRP063
151,N1,62.894,LRP063c,23.5028611,90.9412774,,Culvert,bridge,bridge,351.99999999999676,1000151,,Unknown,,N1LRP063c,N1LRP063
152,N1,63.269,LRP064,23.5020278,90.9448886,,KmPost,link,link,375.0,1000152,,Unknown,,N1LRP064,N1LRP064
153,N1,64.269,LRP065,23.4995274,90.9541667,,KmPost,link,link,1000.000000000007,1000153,,Unknown,,N1LRP065,N1LRP065
154,N1,65.269,LRP066,23.4986386,90.9651111,,KmPost,link,link,1000.0,1000154,,Unknown,,N1LRP066,N1LRP066
155,N1,65.543,LRP066a,23.4980552,90.9660278,,Culvert,bridge,bridge,274.0000000000009,1000155,,Unknown,,N1LRP066a,N1LRP066
156,N1,65.726,LRP067,23.4972774,90.9674716,,KmPost,link,link,182.99999999999272,1000156,,Unknown,,N1LRP067,N1LRP067
157,N1,66.726,LRP068,23.4942219,90.9765549,,KmPost,link,link,1000.0,1000157,,Unknown,,N1LRP068,N1LRP068
158,N1,67.42,LRP068a,23.4951386,90.9829993,,Culvert,bridge,bridge,694.0000000000026,1000158,A,Unknown,4.5,N1LRP068a,N1LRP068
159,N1,67.726,LRP069,23.4942497,90.985833,,KmPost,link,link,305.9999999999974,1000159,,Unknown,,N1LRP069,N1LRP069
160,N1,68.726,LRP070,23.4911386,90.9950274,,KmPost,link,link,1000.0,1000160,,Unknown,,N1LRP070,N1LRP070
161,N1,69.616,LRP070a,23.4894441,91.0033056,,"SideRoad,Left",link,link,890.0000000000006,1000161,,Unknown,,N1LRP070a,N1LRP070
162,N1,69.638,LRP070b,23.4893886,91.0034722,,"SideRoad,Right",link,link,22.00000000000557,1000162,,Unknown,,N1LRP070b,N1LRP070
163,N1,69.709,LRP071,23.4896108,91.0043056,,KmPost,link,link,70.99999999999795,1000163,,Unknown,,N1LRP071,N1LRP071
164,N1,70.443,LRP072,23.4893052,91.0112778,,KmPost,link,link,733.9999999999947,1000164,,Unknown,,N1LRP072,N1LRP072
165,N1,70.527,LRP072a,23.4890552,91.0120278,BS,Bridge,bridge,bridge,84.00000000000318,1000165,C,Unknown,23.1,N1LRP072a,N1LRP072
166,N1,70.557,LRP072b,23.4889441,91.01225,BE,Bridge,link,link,30.000000000001137,1000166,,Unknown,,N1LRP072b,N1LRP072
167,N1,70.755,LRP073,23.488333,91.0140833,,KmPost,link,link,197.9999999999933,1000167,,Unknown,,N1LRP073,N1LRP073
168,N1,71.775,LRP074,23.4846386,91.0229438,,KmPost,link,link,1020.0000000000102,1000168,,Unknown,,N1LRP074,N1LRP074
169,N1,72.775,LRP075,23.4827771,91.0321382,,KmPost,link,link,1000.0,1000169,,Unknown,,N1LRP075,N1LRP075
170,N1,73.688,LRP075a,23.481166,91.0404441,,Culvert,bridge,bridge,912.9999999999967,1000170,B,Unknown,4.6,N1LRP075a,N1LRP075
171,N1,73.829,LRP076,23.4814716,91.0419719,,KmPost,link,link,140.99999999999113,1000171,,Unknown,,N1LRP076,N1LRP076
172,N1,74.7,LRP076a,23.4820827,91.0504167,,Culvert,bridge,bridge,871.0000000000093,1000172,B,Unknown,4.6,N1LRP076a,N1LRP076
173,N1,74.829,LRP077,23.4821382,91.0516944,,KmPost,link,link,128.99999999999068,1000173,,Unknown,,N1LRP077,N1LRP077
174,N1,75.589,LRP077a,23.4815271,91.0590278,,"SideRoad,Left",link,link,760.0000000000051,1000174,,Unknown,,N1LRP077a,N1LRP077
175,N1,75.829,LRP078,23.4815549,91.0613611,,KmPost,link,link,239.99999999999488,1000175,,Unknown,,N1LRP078,N1LRP078
176,N1,76.829,LRP079,23.4801104,91.0706382,,KmPost,link,link,1000.0,1000176,,Unknown,,N1LRP079,N1LRP079
177,N1,77.773,LRP079a,23.4770827,91.0789993,,Culvert,bridge,bridge,944.0000000000026,1000177,C,Unknown,1.0,N1LRP079a,N1LRP079
178,N1,77.829,LRP080,23.4770271,91.0794716,,KmPost,link,link,55.999999999997385,1000178,,Unknown,,N1LRP080,N1LRP080
179,N1,78.829,LRP081,23.4781938,91.0889997,,KmPost,link,link,1000.0,1000179,,Unknown,,N1LRP081,N1LRP081
180,N1,79.829,LRP082,23.4775549,91.0986663,,KmPost,link,link,1000.0,1000180,,Unknown,,N1LRP082,N1LRP082
181,N1,80.342,LRP082a,23.4778604,91.1036111,,Culvert,bridge,bridge,513.0000000000052,1000181,,Unknown,,N1LRP082a,N1LRP082
182,N1,80.829,LRP083,23.4779993,91.1055278,,KmPost,link,link,486.99999999999477,1000182,,Unknown,,N1LRP083,N1LRP083
183,N1,81.801,LRP083a,23.4789438,91.1177216,,Culvert,bridge,bridge,972.0000000000084,1000183,A,Unknown,1.4,N1LRP083a,N1LRP083
184,N1,81.829,LRP084,23.4789716,91.1179993,,KmPost,link,link,27.999999999991587,1000184,,Unknown,,N1LRP084,N1LRP084
185,N1,81.846,LRP084a,23.4789716,91.118166,,"SideRoad,Left",link,link,17.000000000010118,1000185,,Unknown,,N1LRP084a,N1LRP084
186,N1,82.393,LRP084b,23.4793327,91.1234716,,Culvert,bridge,bridge,546.999999999997,1000186,,Unknown,,N1LRP084b,N1LRP084
187,N1,82.829,LRP085,23.4800827,91.1276382,,KmPost,link,link,435.99999999999284,1000187,,Unknown,,N1LRP085,N1LRP085
188,N1,83.829,LRP086,23.4767216,91.1364441,,KmPost,link,link,1000.0,1000188,,Unknown,,N1LRP086,N1LRP086
189,N1,84.829,LRP087,23.4682216,91.1394441,,KmPost,link,link,1000.0,1000189,,Unknown,,N1LRP087,N1LRP087
190,N1,85.829,LRP088,23.4595833,91.1421386,,KmPost,link,link,1000.0,1000190,,Unknown,,N1LRP088,N1LRP088
